fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;color;quality
7.4;0.7;0.0;1.9;E;11.0;34.0;0.9978;3.51;medium;9.4;red;5
7.8;0.88;0.0;2.6;C;25.0;67.0;0.9968;3.2;high;9.8;red;5
7.8;0.76;0.04;2.3;C;15.0;54.0;0.997;3.26;high;9.8;?;5
11.2;0.28;0.56;1.9;E;17.0;60.0;0.998;3.16;medium;9.8;red;6
7.4;0.7;0.0;1.9;E;11.0;34.0;0.9978;3.51;medium;9.4;red;5
7.4;0.66;0.0;1.8;E;13.0;40.0;0.9978;?;medium;9.4;red;5
7.9;0.6;0.06;1.6;B;15.0;59.0;0.9964;3.3;medium;9.4;red;5
7.3;0.65;0.0;1.2;B;15.0;21.0;0.9946;3.39;medium;10.0;?;7
7.8;0.58;0.02;2.0;E;9.0;18.0;0.9968;3.36;medium;9.5;red;7
7.5;0.5;0.36;6.1;C;17.0;102.0;0.9978;3.35;high;10.5;red;5
6.7;0.58;0.08;1.8;D;15.0;65.0;0.9959;3.28;medium;9.2;red;5
7.5;0.5;0.36;6.1;C;17.0;102.0;0.9978;3.35;high;10.5;red;5
5.6;0.615;0.0;1.6;D;16.0;59.0;0.9943;3.58;medium;9.9;red;5
7.8;0.61;0.29;1.6;C;9.0;29.0;0.9974;3.26;high;9.1;red;5
8.9;0.62;0.18;3.8;C;52.0;145.0;0.9986;3.16;high;9.2;red;5
8.9;0.62;0.19;3.9;C;51.0;148.0;0.9986;3.17;high;9.2;red;5
8.5;0.28;0.56;1.8;C;35.0;103.0;0.9969;?;high;10.5;red;7
8.1;0.56;0.28;1.7;C;16.0;56.0;0.9968;3.11;high;9.3;red;5
7.4;0.59;0.08;4.4;D;6.0;29.0;0.9974;3.38;medium;9.0;red;4
7.9;0.32;0.51;1.8;C;17.0;56.0;0.9969;3.04;high;9.2;red;6
8.9;0.22;0.48;1.8;D;29.0;60.0;0.9968;3.39;medium;9.4;red;6
7.6;0.39;0.31;2.3;C;23.0;71.0;0.9982;3.52;high;9.7;red;5
7.9;0.43;0.21;1.6;C;10.0;37.0;0.9966;3.17;high;9.5;red;5
8.5;0.49;0.11;2.3;D;9.0;67.0;0.9968;3.17;medium;9.4;red;5
6.9;0.4;0.14;2.4;E;21.0;40.0;0.9968;?;high;9.7;red;6
6.3;0.39;0.16;1.4;E;11.0;23.0;0.9955;?;medium;9.3;red;5
7.6;0.41;0.24;1.8;E;4.0;11.0;0.9962;3.28;medium;9.5;red;5
7.9;0.43;0.21;1.6;C;10.0;37.0;0.9966;3.17;high;9.5;red;5
7.1;0.71;0.0;1.9;E;14.0;35.0;0.9972;3.47;medium;9.4;red;5
7.8;0.645;0.0;2.0;E;8.0;16.0;0.9964;3.38;medium;9.8;red;6
6.7;0.675;0.07;2.4;D;17.0;82.0;0.9958;3.35;medium;10.1;red;5
6.9;0.685;0.0;2.5;E;22.0;37.0;0.9966;3.46;medium;10.6;red;6
8.3;0.655;0.12;2.3;C;15.0;113.0;0.9966;3.17;high;9.8;red;5
6.9;0.605;0.12;10.7;D;40.0;83.0;0.9993;3.45;medium;9.4;red;6
5.2;0.32;0.25;1.8;E;13.0;50.0;0.9957;3.38;medium;9.2;red;5
7.8;0.645;0.0;5.5;E;5.0;18.0;0.9986;3.4;medium;9.6;red;6
7.8;0.6;0.14;2.4;E;3.0;15.0;0.9975;?;medium;10.8;red;6
8.1;0.38;0.28;2.1;C;13.0;30.0;0.9968;3.23;high;9.7;red;7
5.7;1.13;0.09;1.5;B;7.0;19.0;0.9940000000000001;3.5;medium;9.8;red;4
7.3;0.45;0.36;5.9;C;12.0;87.0;0.9978;3.33;high;10.5;red;5
7.3;0.45;0.36;5.9;C;12.0;87.0;0.9978;3.33;high;10.5;red;5
8.8;0.61;0.3;2.8;D;17.0;46.0;0.9976;?;medium;9.3;red;4
7.5;0.49;0.2;2.6;C;8.0;14.0;0.9968;3.21;high;10.5;red;6
8.1;0.66;0.22;2.2;C;9.0;23.0;0.9968;?;high;10.3;red;5
6.8;0.67;0.02;1.8;D;5.0;11.0;0.9962;3.48;medium;9.5;red;5
4.6;0.52;0.15;2.1;E;8.0;65.0;0.9934;3.9;medium;13.1;red;4
7.7;0.935;0.43;2.2;C;22.0;114.0;0.997;3.25;high;9.2;red;5
8.7;0.29;0.52;1.6;E;12.0;37.0;0.9969;3.25;medium;9.5;red;5
6.4;0.4;0.23;1.6;E;5.0;12.0;0.9958;3.34;medium;9.2;red;5
5.6;0.31;0.37;1.4;E;12.0;96.0;0.9954;3.32;medium;9.2;red;5
8.8;0.66;0.26;1.7;C;4.0;23.0;0.9971;3.15;high;9.2;?;5
6.6;0.52;0.04;2.2;E;8.0;15.0;0.9956;3.4;high;9.4;red;6
6.6;0.5;0.04;2.1;C;6.0;14.0;0.9955;3.39;high;9.4;red;6
8.6;0.38;0.36;3.0;E;30.0;119.0;0.997;3.2;medium;9.4;red;5
7.6;0.51;0.15;2.8;E;33.0;73.0;0.9955;3.17;high;10.2;red;6
7.7;0.62;0.04;3.8;D;25.0;45.0;0.9978;3.34;medium;9.5;red;5
10.2;0.42;0.57;3.4;E;4.0;10.0;0.9971;3.04;high;9.6;?;5
7.5;0.63;0.12;5.1;C;50.0;110.0;0.9983;3.26;high;9.4;red;5
7.8;0.59;0.18;2.3;E;17.0;54.0;0.9975;3.43;medium;10.0;red;5
7.3;0.39;0.31;2.4;D;9.0;46.0;0.9962;3.41;medium;9.4;?;6
8.8;0.4;0.4;2.2;C;19.0;52.0;0.998;3.44;high;9.2;red;5
7.7;0.69;0.49;1.8;C;20.0;112.0;0.9968;?;high;9.3;red;5
7.5;0.52;0.16;1.9;E;12.0;35.0;0.9968;3.38;high;9.5;red;7
7.0;0.735;0.05;2.0;E;13.0;54.0;0.9966;3.39;medium;9.8;red;5
7.2;0.725;0.05;4.65;A;4.0;11.0;0.9962;3.41;low;10.9;red;5
7.2;0.725;0.05;4.65;A;4.0;11.0;0.9962;3.41;low;10.9;red;5
7.5;0.52;0.11;1.5;E;11.0;39.0;0.9968;3.42;medium;9.6;red;5
6.6;0.705;0.07;1.6;E;6.0;15.0;0.9962;3.44;medium;10.7;red;5
9.3;0.32;0.57;2.0;C;27.0;65.0;0.9969;?;high;10.7;red;5
8.0;0.705;0.05;1.9;C;8.0;19.0;0.9962;3.34;high;10.5;red;6
7.7;0.63;0.08;1.9;D;15.0;27.0;0.9967;?;medium;9.5;red;6
7.7;0.67;0.23;2.1;B;17.0;96.0;0.9962;3.32;medium;9.5;red;5
7.7;0.69;0.22;1.9;B;18.0;94.0;0.9961;3.31;medium;9.5;red;5
8.3;0.675;0.26;2.1;D;11.0;43.0;0.9976;3.31;medium;9.2;red;4
9.7;0.32;0.54;2.5;C;28.0;83.0;0.9984;3.28;high;9.6;red;5
8.8;0.41;0.64;2.2;C;9.0;42.0;0.9986;3.54;high;10.5;red;5
8.8;0.41;0.64;2.2;C;9.0;42.0;0.9986;?;high;10.5;red;5
6.8;0.785;0.0;2.4;E;14.0;30.0;0.9966;3.52;medium;10.7;red;6
6.7;0.75;0.12;2.0;D;12.0;80.0;0.9958;3.38;medium;10.1;red;5
8.3;0.625;0.2;1.5;C;27.0;119.0;0.9972;3.16;high;9.1;red;4
6.2;0.45;0.2;1.6;E;3.0;15.0;0.9958;3.41;medium;9.2;red;5
7.8;0.43;0.7;1.9;C;22.0;67.0;0.9974;3.13;high;9.4;red;5
7.4;0.5;0.47;2.0;E;21.0;73.0;0.997;3.36;medium;9.1;red;5
7.3;0.67;0.26;1.8;C;16.0;51.0;0.9969;3.16;high;9.4;red;5
6.3;0.3;0.48;1.8;C;18.0;61.0;0.9959;3.44;high;10.3;red;6
6.9;0.55;0.15;2.2;E;19.0;40.0;0.9961;3.41;medium;10.1;red;5
8.6;0.49;0.28;1.9;C;20.0;136.0;0.9972;?;high;9.9;?;6
7.7;0.49;0.26;1.9;C;9.0;31.0;0.9966;3.39;high;9.6;?;5
9.3;0.39;0.44;2.1;C;34.0;125.0;0.9978;3.14;high;9.5;red;5
7.0;0.62;0.08;1.8;D;8.0;24.0;0.9978;3.48;medium;9.0;?;5
7.9;0.52;0.26;1.9;D;42.0;140.0;0.9964;3.23;medium;9.5;red;5
8.6;0.49;0.28;1.9;C;20.0;136.0;0.9972;2.93;high;9.9;?;6
8.6;0.49;0.29;2.0;C;19.0;133.0;0.9972;2.93;high;9.8;red;5
7.7;0.49;0.26;1.9;C;9.0;31.0;0.9966;3.39;high;9.6;red;5
5.0;1.02;0.04;1.4;B;41.0;85.0;0.9938;3.75;medium;10.5;red;4
4.7;0.6;0.17;2.3;E;17.0;106.0;0.9932;3.85;medium;12.9;red;6
6.8;0.775;0.0;3.0;E;8.0;23.0;0.9965;3.45;medium;10.7;red;5
7.0;0.5;0.25;2.0;E;3.0;22.0;0.9963;3.25;high;9.2;red;5
7.6;0.9;0.06;2.5;E;5.0;10.0;0.9967;3.39;medium;9.8;red;5
8.1;0.545;0.18;1.9;E;13.0;35.0;0.9972;3.3;medium;9.0;red;6
8.3;0.61;0.3;2.1;E;11.0;50.0;0.9972;3.4;high;10.2;red;6
